File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
BU105_PaniPerl_3.tiff,Full,20825,60358,12994.365345,4.644936,2577.111778,0.546697,0.119747,18.690528,13660.568814,41426.770185,28976.74855,3.455,11890.109066,603.85208,500.404199,2845.623613,1874.972409,4483.646793,8997.856108,5893.100618,14085.791825,1519.10253,4876.151166,35031.516489
BU105_PaniPerl_4.tiff,Full,2113,3022,1490.021253,2.028159,312.627038,0.515936,0.34912,2.97807,1299.058422,629.987007,2548.798093,0.725,1466.243027,23.778226,0,755.761997,53.98092,0,2378.10352,170.694573,0,531.489407,98.4976,0
BU105_PaniPerl_5.tiff,Full,1465,2142,1303.482694,1.64329,324.351269,0.756135,0.455983,3.217612,941.319377,1186.174644,3290.900724,0.688,1164.193033,139.289661,0,730.024974,316.543372,0,2295.820354,995.080369,0,615.217477,570.957167,0
BU106_AndrGera_1.tiff,Full,30035,36869,9188.902258,4.01234,1418.040438,0.451432,0.084674,9.818169,10782.512199,12400.540157,16343.329226,3.26,8422.799496,578.267035,187.835727,2169.784083,1818.117173,1203.169846,6849.013356,5713.665003,3780.650867,1366.596309,4802.361994,6231.581854
BU106_AndrGera_2.tiff,Full,1567,3077,1262.996433,2.43627,247.04591,0.706121,0.34912,3.848711,842.877477,1199.219446,3082.059155,0.508,1126.574685,136.421747,0,651.93525,327.526869,0,2051.295164,1030.763991,0,565.249678,633.969767,0
BU106_AndrGera_3.tiff,Full,1164,2000,897.203689,2.229148,183.355786,0.597615,0.34912,2.913573,633.89515,532.193759,1801.748191,0.376,866.514989,30.6887,0,503.553435,69.207326,0,1584.326965,217.421226,0,408.465815,123.727944,0
BU106_AndrGera_4.tiff,Full,1071,1397,669.998665,2.085079,132.746757,0.467891,0.34912,2.196634,584.974747,205.054054,1033.090618,0.399,668.331231,1.667433,0,324.935781,3.374051,0,1022.203597,10.887022,0,199.393138,5.660916,0
BU106_AndrGera_5.tiff,Full,940,1956,871.471604,2.244479,172.986626,0.686339,0.431754,3.006822,509.114796,653.801909,2001.542304,0.339,825.548028,45.923576,0,532.881245,103.207776,0,1676.640085,324.902218,0,469.034987,184.766923,0
BU106_AndrGera_6.tiff,Full,2972,6006,2138.436535,2.808594,436.920734,0.553355,0.254022,4.862677,1776.599763,1651.712849,4108.606048,0.714,1991.596058,146.840477,0,874.482433,431.298299,0,2752.798198,1355.807851,0,601.570494,1050.142355,0
BU106_AndrGera_7.tiff,Full,1501,2104,1214.994104,1.731696,285.649298,0.671849,0.455983,3.170473,873.911944,780.596851,2700.021308,0.878,1193.070925,21.923178,0,806.717058,51.943076,0,2536.837322,163.183985,0,682.23862,98.358231,0
BU106_UrtiDioi_1.tiff,Full,2429,4594,1916.644275,2.396898,427.189676,0.835462,0.305296,6.287009,1421.244178,3358.785862,5524.006546,0.758,1622.726887,270.143203,23.774185,778.253267,847.625021,130.467878,2450.909702,2663.219915,409.876928,580.25098,2214.183626,564.351256
BU106_UrtiDioi_2.tiff,Full,1199,1894,806.698895,2.34784,134.186072,0.383062,0.239494,2.216131,843.12374,203.165623,1013.81607,0.297,804.894178,1.804717,0,318.433735,3.78114,0,1001.937267,11.878803,0,196.938834,6.226789,0
BU106_UrtiDioi_3.tiff,Full,2211,3993,1721.124682,2.319995,362.981543,0.740492,0.267763,4.619974,1362.688689,2274.119958,4531.428681,0.702,1469.508441,251.616241,0,713.414315,726.923574,0,2245.007488,2286.421193,0,551.270068,1722.849891,0
BU106_UrtiDioi_4.tiff,Full,4040,9365,3100.595563,3.020387,641.351816,0.624332,0.189337,6.536921,2657.608543,3938.882996,6889.413677,0.994,2804.921546,256.453271,39.220746,1152.017002,825.577559,212.288765,3627.06928,2594.709703,667.634695,790.349542,2240.772072,907.761383
BU106_UrtiDioi_5.tiff,Full,6958,22687,8093.230133,2.803207,1673.537617,0.730609,0.267763,10.958334,5654.165406,15984.646975,21544.625982,2.263,7166.586356,711.765782,214.877995,3154.681768,2281.16311,1414.458522,9931.775042,7167.148706,4445.702234,2167.193298,6158.629622,7658.824056
BU107_AmphBract_1.tiff,Full,6435,38112,10140.234905,3.758493,1767.281276,0.480979,0.189337,5.916283,7976.497604,7019.357671,17619.147623,2.76,9516.345262,611.598328,12.291315,3780.940815,1748.774166,67.130209,11913.639429,5494.612424,210.89577,2578.304357,4152.40296,288.650354
BU107_AmphBract_2.tiff,Full,5693,12095,4426.268671,2.73255,863.015241,0.518677,0.267763,6.113557,3609.098167,2744.226906,7900.556198,1.818,4233.488453,184.747921,8.032298,1940.331597,526.504037,43.524358,6109.073909,1654.746485,136.735803,1302.261238,1256.131176,185.834491
