File.Name,Success,site,species,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,total_root_length_mm,Branching.frequency.per.mm,Network.Area.mm2,average_diameter_mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,volume_mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
104_PoaPrat_14.tiff,N,104,Poa pratensis,Full,31,29,12.609465,2.29986,1.785252,0.268515,0.169348,0.946684,16.097906,1.308753,10.969853,0.018,12.609465,0,0,3.491813,0,0,10.969853,0,0,1.308753,0,0
104_PoaPrat_14.tiff,N,104,Poa pratensis,Full,96,57,28.168509,2.023536,3.694181,0.242675,0.169348,1.113713,40.986651,2.936399,22.92075,0.035,28.168509,0,0,7.295901,0,0,22.92075,0,0,2.936399,0,0
104_PoaPrat_14.tiff,N,104,Poa pratensis,Full,116,74,39.801945,1.859206,5.649713,0.230565,0.169348,1.197471,60.744322,3.477674,29.994482,0.035,39.801945,0,0,9.54754,0,0,29.994482,0,0,3.477674,0,0
104_PoaPrat_15.tiff,N,104,Poa pratensis,Full,297,151,80.604808,1.873337,6.791486,0.124482,0.084674,0.508044,143.789204,1.213153,31.257609,0.084,80.604808,0,0,9.921311,0,0,31.257609,0,0,1.213153,0,0
104_PoaPrat_15.tiff,N,104,Poa pratensis,Full,206,172,129.569598,1.327472,16.816501,0.172879,0.169348,0.592718,223.209218,4.020031,71.462641,0.199,129.569598,0,0,22.722786,0,0,71.462641,0,0,4.020031,0,0
104_PoaPrat_15.tiff,Y,104,Poa pratensis,Full,259,175,151.43187,1.155635,21.754623,0.192961,0.169348,0.84674,258.575534,6.251738,93.091439,0.202,151.43187,0,0,29.608931,0,0,93.091439,0,0,6.251738,0,0
104_PoaPrat_16.tiff,N,104,Poa pratensis,Full,119,51,29.534082,1.726819,4.29285,0.187985,0.169348,0.850963,51.967281,1.394337,18.424818,0.836,29.534082,0,0,5.846522,0,0,18.424818,0,0,1.394337,0,0
104_PoaPrat_16.tiff,N,104,Poa pratensis,Full,454,281,123.790704,2.26996,15.637088,0.178333,0.169348,1.01961,202.212985,4.933708,72.355402,0.865,123.790704,0,0,22.97879,0,0,72.355402,0,0,4.933708,0,0
104_PoaPrat_16.tiff,N,104,Poa pratensis,Full,760,514,262.379205,1.958997,39.001306,0.211331,0.169348,1.100762,413.90538,14.311958,181.283344,0.978,262.379205,0,0,57.634265,0,0,181.283344,0,0,14.311958,0,0
104_PoaPrat_17.tiff,N,104,Poa pratensis,Full,25,1,1.988593,0.502868,0.166695,0.09082,0.084674,0.189337,4.410828,0.01475,0.585194,0.693,1.988593,0,0,0.186273,0,0,0.585194,0,0,0.01475,0,0
